AT,SR,RH,WV,AP
-0.159875701,-1.014506087,0.662747999,0,-1.889984469
-0.332900058,-0.800217455,0.651717219,0,-2.297572029
-0.294948256,-0.362012258,0.667073795,0,-2.30902648
-0.051100458,0.149108492,0.283880364,0,-2.114300807
0.118636735,0.443450963,-0.119428018,0,-1.852757502
-0.042135465,0.615256093,0.424396638,0,-1.374534159
0.239962968,0.005428599,0.201762336,0,-0.804675206
0.775173025,-0.038894908,-0.507235632,0,-0.528813836
1.004079168,0.740388112,-0.547609728,0,-0.469632504
1.186666184,0.557527391,-0.670534432,0,-0.741675723
1.068627115,-0.355453592,-0.518698991,0,-1.020400706
-0.003287164,-1.033077301,0.674643938,0,-1.007037179
-0.110269409,-1.018135526,0.76303437,0,-1.624623013
-0.091741757,-0.826736091,0.784302867,0,-1.683804345
-0.158082702,0.704447716,0.861950906,0,-1.552078155
-0.180196351,1.13773586,0.837870641,0,-1.286716699
-0.145830546,0.798241297,0.657340754,0,-0.954537611
0.005378996,2.714861444,0.500891131,0,-0.525950223
0.664007117,1.988440644,-0.369098546,0,-0.056317719
1.128393732,0.960577987,-0.802254921,0,0.025772515
1.227606317,0.315366377,-0.874712004,0,-0.062999482
1.724565739,0.309725769,-1.665467517,0,-0.262497843
1.881453109,-0.326861546,-1.799062517,0,-0.748357487
-0.053192289,-1.033077301,0.46614057,0,-0.987946427
-0.16943836,-0.993993725,0.672769426,0,-1.35830702
-0.29823542,-0.684355483,0.82496535,0,-1.576896133
-0.303315582,-0.516455987,0.871900236,0,-1.511033038
-0.302717916,-0.154258951,0.796487192,0,-1.370716009
-0.288672761,0.518700559,0.775290792,0,-1.015628018
0.015240487,0.985921821,0.522303821,0,-0.482996031
0.322142067,1.459616166,0.122167689,0,0.128862577
0.751565211,1.004104028,-0.383157383,0,0.232907177
1.18337902,1.250088985,-0.841908051,0,0.049635956
1.458604292,0.261924536,-1.082638599,0,-0.351269841
1.677947777,-0.363661649,-1.771305326,0,-0.520222998
-0.579437353,-1.033077301,0.258069781,0,-0.728312197
-0.714509908,-1.001205923,0.465996376,0,-1.222762679
-0.624262316,-0.538574949,0.365637909,0,-1.441351792
-0.759334871,0.074562999,0.656763981,0,-1.500533124
-0.582126851,0.998140544,0.436004191,0,-1.223717217
-0.83284781,0.43649162,0.6287905,0,-0.810402431
-0.106683412,0.785065616,0.20803474,0,-0.192816597
0.487695596,0.175448185,-0.369386932,0,0.397087646
1.198619507,-0.426140132,-1.084873594,0,0.477268805
0.946703216,0.131455335,-0.689423741,0,0.589904243
1.346541885,0.261138741,-1.390851566,0,0.322633712
1.006469833,-0.273812603,-1.337283792,0,0.139362491
-0.358898536,-1.033077301,0.539174426,0,-0.229089027
-0.155393205,-1.013782533,0.164344201,0,-0.717812283
0.054387622,-0.778359128,-0.219209713,0,-0.979355588
0.019125317,-0.386496385,-0.386762213,0,-1.163581347
-0.077397769,0.545332008,-0.11813028,0,-1.011809867
-0.038848301,-0.109667029,-0.008255061,0,-0.665312715
0.218745819,0.104333737,-0.245524973,0,-0.161316856
0.502936084,1.139548634,-0.410409898,0,0.528813836
1.063248119,1.8253804,-1.143992806,0,0.745493874
0.973000528,1.208259016,-1.087324878,0,0.791311679
1.104487085,0.222276899,-1.189485761,0,0.599449619
1.559311042,-0.247025552,-1.700578561,0,-0.069681246
-0.396551505,-1.033077301,0.857985593,0,-0.923037869
